date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:19	8262/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:18%20GMT	https://cognito.co.nz/manual/moneyworks_lists_useful_list_operations.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_useful_list_operations.html	(from https://cognito.co.nz/manual/)
20:31:21	15191/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:20%20GMT	https://cognito.co.nz/manual/moneyworks_lists_customising_your_list.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_customising_your_list.html	(from https://cognito.co.nz/manual/)
20:31:24	10070/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:22%20GMT	https://cognito.co.nz/manual/moneyworks_lists_list_filters.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_lists_list_filters.html	(from https://cognito.co.nz/manual/)
20:31:27	11472/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:25%20GMT	https://cognito.co.nz/manual/moneyworks_printing_printing_and_emailing.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_printing_and_emailing.html	(from https://cognito.co.nz/manual/)
20:31:31	8300/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:30%20GMT	https://cognito.co.nz/manual/moneyworks_printing_output_settings.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_output_settings.html	(from https://cognito.co.nz/manual/)
20:31:34	13635/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:33%20GMT	https://cognito.co.nz/manual/moneyworks_printing_the_preview_window.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_the_preview_window.html	(from https://cognito.co.nz/manual/)
20:31:37	12200/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:36%20GMT	https://cognito.co.nz/manual/moneyworks_printing_changing_the_margins_and_leading.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_changing_the_margins_and_leading.html	(from https://cognito.co.nz/manual/)
20:31:40	8501/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:39%20GMT	https://cognito.co.nz/manual/moneyworks_printing_printing_forms.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_printing_forms.html	(from https://cognito.co.nz/manual/)
20:31:45	9552/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:43%20GMT	https://cognito.co.nz/manual/moneyworks_printing_printing_issues.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_printing_printing_issues.html	(from https://cognito.co.nz/manual/)
20:31:48	10178/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:46%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_transactions.html	(from https://cognito.co.nz/manual/)
20:31:50	9342/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:49%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_accessing_and_viewing_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_accessing_and_viewing_transactions.html	(from https://cognito.co.nz/manual/)
20:31:52	9398/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:51%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_viewing_transaction_lines.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_viewing_transaction_lines.html	(from https://cognito.co.nz/manual/)
20:31:54	8446/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:54%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_the_transaction_entry_window.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_the_transaction_entry_window.html	(from https://cognito.co.nz/manual/)
20:31:58	8424/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:31:57%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_transaction_entry.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_transaction_entry.html	(from https://cognito.co.nz/manual/)
20:32:02	10553/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:00%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_storing_source_images.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_storing_source_images.html	(from https://cognito.co.nz/manual/)
20:32:04	8230/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:03%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_transaction_entry_goodies.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_transaction_entry_goodies.html	(from https://cognito.co.nz/manual/)
20:32:06	8420/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:05%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_modifying_and_deleting_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_modifying_and_deleting_transactions.html	(from https://cognito.co.nz/manual/)
20:32:09	8313/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:08%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_printing_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_printing_transactions.html	(from https://cognito.co.nz/manual/)
20:32:12	10575/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:11%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_posting_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_posting_transactions.html	(from https://cognito.co.nz/manual/)
20:32:14	8596/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:14%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_recurring_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_recurring_transactions.html	(from https://cognito.co.nz/manual/)
20:32:16	9244/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:16%20GMT	https://cognito.co.nz/manual/moneyworks_transactions_setting_up_an_auto-allocation_for__transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_transactions_setting_up_an_auto-allocation_for__transactions.html	(from https://cognito.co.nz/manual/)
20:32:19	8925/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:18%20GMT	https://cognito.co.nz/manual/moneyworks_cash_cash_transactions.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_cash_cash_transactions.html	(from https://cognito.co.nz/manual/)
20:32:22	14358/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:20%20GMT	https://cognito.co.nz/manual/moneyworks_cash_entering_payments.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_cash_entering_payments.html	(from https://cognito.co.nz/manual/)
20:32:24	16015/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:23%20GMT	https://cognito.co.nz/manual/moneyworks_cash_entering_receipts.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_cash_entering_receipts.html	(from https://cognito.co.nz/manual/)
20:32:27	10849/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:32:26%20GMT	https://cognito.co.nz/manual/moneyworks_cash_printing_tax_receipts.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_cash_printing_tax_receipts.html	(from https://cognito.co.nz/manual/)
